nohup: ignoring input
============================================================
<class 'transformers.tokenization_dna.DNATokenizer'>
2 genes have N, so will be excluded
number of params: 241946
Start training
Epoch: [0]  [27000/36102]  eta: 0:13:04  accuracy: 0.5000 (0.5257)  precision: 0.0000 (0.1360)  recall: 0.0000 (0.1105)  F2: 0.0000 (0.1124)  specificity: 1.0000 (0.6763)  NPV: 0.5000 (0.5178)  loss: 0.7047 (0.6914)  time: 0.0863  data: 0.0010  max mem: 1291
Epoch: [0]  [27500/36102]  eta: 0:12:22  accuracy: 0.5000 (0.5263)  precision: 0.0000 (0.1363)  recall: 0.0000 (0.1106)  F2: 0.0000 (0.1125)  specificity: 1.0000 (0.6769)  NPV: 0.5000 (0.5183)  loss: 0.6477 (0.6913)  time: 0.0922  data: 0.0014  max mem: 1291
Epoch: [0]  [28000/36102]  eta: 0:11:40  accuracy: 0.5000 (0.5266)  precision: 0.0000 (0.1369)  recall: 0.0000 (0.1111)  F2: 0.0000 (0.1130)  specificity: 1.0000 (0.6770)  NPV: 0.5000 (0.5188)  loss: 0.6730 (0.6912)  time: 0.0867  data: 0.0010  max mem: 1291
Epoch: [0]  [28500/36102]  eta: 0:10:56  accuracy: 0.5000 (0.5268)  precision: 0.0000 (0.1366)  recall: 0.0000 (0.1108)  F2: 0.0000 (0.1128)  specificity: 1.0000 (0.6777)  NPV: 0.5000 (0.5191)  loss: 0.6949 (0.6913)  time: 0.0897  data: 0.0010  max mem: 1291
Epoch: [0]  [29000/36102]  eta: 0:10:13  accuracy: 0.5000 (0.5269)  precision: 0.0000 (0.1362)  recall: 0.0000 (0.1103)  F2: 0.0000 (0.1123)  specificity: 1.0000 (0.6779)  NPV: 0.5000 (0.5191)  loss: 0.6931 (0.6912)  time: 0.1165  data: 0.0300  max mem: 1291
Epoch: [0]  [29500/36102]  eta: 0:09:30  accuracy: 0.5000 (0.5265)  precision: 0.0000 (0.1363)  recall: 0.0000 (0.1102)  F2: 0.0000 (0.1123)  specificity: 0.5000 (0.6773)  NPV: 0.5000 (0.5187)  loss: 0.6964 (0.6913)  time: 0.0886  data: 0.0009  max mem: 1291
Epoch: [0]  [30000/36102]  eta: 0:08:47  accuracy: 0.5000 (0.5269)  precision: 0.0000 (0.1387)  recall: 0.0000 (0.1120)  F2: 0.0000 (0.1141)  specificity: 1.0000 (0.6760)  NPV: 0.5000 (0.5190)  loss: 0.6864 (0.6912)  time: 0.0884  data: 0.0010  max mem: 1291
Epoch: [0]  [30500/36102]  eta: 0:08:04  accuracy: 0.5000 (0.5264)  precision: 0.0000 (0.1412)  recall: 0.0000 (0.1141)  F2: 0.0000 (0.1162)  specificity: 1.0000 (0.6732)  NPV: 0.5000 (0.5180)  loss: 0.6885 (0.6912)  time: 0.0865  data: 0.0009  max mem: 1291
Epoch: [0]  [31000/36102]  eta: 0:07:20  accuracy: 0.5000 (0.5271)  precision: 0.0000 (0.1406)  recall: 0.0000 (0.1136)  F2: 0.0000 (0.1157)  specificity: 1.0000 (0.6746)  NPV: 0.5000 (0.5189)  loss: 0.6951 (0.6912)  time: 0.0860  data: 0.0009  max mem: 1291
Epoch: [0]  [31500/36102]  eta: 0:06:37  accuracy: 0.5000 (0.5271)  precision: 0.0000 (0.1402)  recall: 0.0000 (0.1132)  F2: 0.0000 (0.1153)  specificity: 1.0000 (0.6750)  NPV: 0.5000 (0.5189)  loss: 0.6736 (0.6912)  time: 0.0872  data: 0.0009  max mem: 1291
